Elementary_School,Elementary_Borough,Elementary_SchoolDigger_Rank,Elementary_Total_Schools,Middle_School,Middle_Borough,Middle_SchoolDigger_Rank,Middle_Total_Schools,Elementary_School_Type,Middle_School_Type,Elementary_Address,Middle_Address,Overlap_Area
P.S. 105 The Blythebourne,Brooklyn,222.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"1031 59 STREET, BROOKLYN, NY 11219","4812 9 Avenue, Brooklyn, NY 11220",3.550063616019581e-06
P.S. 105 The Blythebourne,Brooklyn,222.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"1031 59 STREET, BROOKLYN, NY 11219","4812 9 Avenue, Brooklyn, NY 11220",1.6514856152388658e-09
P.S. 046 Alley Pond,Queens,348.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"64-45 218 STREET, QUEENS, NY 11364","61-15 Oceania Street, Queens, NY 11364",8.179447073509368e-05
The Peck Slip School,Manhattan,297.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"1 PECK SLIP, MANHATTAN, NY 10038","330 EAST 21 STREET, MANHATTAN, NY 10010",4.936097720796093e-05
The Peck Slip School,Manhattan,297.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"1 PECK SLIP, MANHATTAN, NY 10038","330 EAST 21 STREET, MANHATTAN, NY 10010",3.342171309496712e-05
P.S. 079 Francis Lewis,Queens,108.0,2445,J.H.S. 194 William Carr,Queens,314.0,1504,Elementary,Junior High-Intermediate-Middle,"147-27 15 DRIVE, QUEENS, NY 11357","154-60 17 AVENUE, QUEENS, NY 11357",7.247600095616436e-05
P.S. 079 Francis Lewis,Queens,108.0,2445,J.H.S. 194 William Carr,Queens,314.0,1504,Elementary,Junior High-Intermediate-Middle,"147-27 15 DRIVE, QUEENS, NY 11357","154-60 17 AVENUE, QUEENS, NY 11357",2.0825535316331943e-12
P.S. 079 Francis Lewis,Queens,108.0,2445,J.H.S. 194 William Carr,Queens,314.0,1504,Elementary,Junior High-Intermediate-Middle,"147-27 15 DRIVE, QUEENS, NY 11357","154-60 17 AVENUE, QUEENS, NY 11357",4.771218012942962e-06
P.S. 079 Francis Lewis,Queens,108.0,2445,J.H.S. 194 William Carr,Queens,314.0,1504,Elementary,Junior High-Intermediate-Middle,"147-27 15 DRIVE, QUEENS, NY 11357","154-60 17 AVENUE, QUEENS, NY 11357",6.923444016013942e-05
P.S. 185 Walter Kassenbrock,Brooklyn,332.0,2445,The Madeleine Brennan School,Brooklyn,93.0,1504,Elementary,Junior High-Intermediate-Middle,"8601 RIDGE BOULEVARD, BROOKLYN, NY 11209","8010 12 AVENUE, BROOKLYN, NY 11228",1.2395963606099535e-05
