School Name,State Rank,Total Schools
Letchworth Middle School,616,1504
Long Beach Middle School,617,1504
Marlboro Middle School,618,1504
Ps/Is 210 21st Century Academy,619,1504
Ps 15 Institute For Environmental Learning,620,1504
Fort Edward School,621,1504
Washington Heights Expeditionary Learning School,622,1504
Saranac Lake Middle School,623,1504
Lynbrook North Middle School,624,1504
Explore Excel Charter School,625,1504
Nyack Middle School,626,1504
A A Kingston Middle School,627,1504
Harbor Science And Arts Charter School,628,1504
Chenango Forks Middle School,629,1504
Avon Middle School,630,1504
Baldwin Middle School,631,1504
Southwestern Middle School,632,1504
Vista Academy,633,1504
Eldred Junior-Senior High School,634,1504
Yonkers Montessori Academy,635,1504
Lincoln School,636,1504
Sagamore Middle School,637,1504
Ps 146 Howard Beach,638,1504
Homer Junior High School,639,1504
New York Mills School,640,1504
Mount Morris Middle/Senior High School,641,1504
Cincinnatus Middle School,642,1504
Franklin Central School,643,1504
Downsville Central School,644,1504
Growing Up Green Charter School,645,1504
J M McKenney Middle School,646,1504
York Middle/High School,647,1504
Friendship Central School,648,1504
Hamilton School,649,1504
Byron-Bergen Junior/Senior High School,650,1504
Middle School 582,651,1504
Parishville-Hopkinton Junior-Senior High School,652,1504
Richfield Springs Junior/Senior High School,653,1504
Tonawanda Middle/High School,654,1504
Geneseo Middle School High School,655,1504
Academy Of The City Charter School,656,1504
School 29,657,1504
Babylon Junior-Senior High School,658,1504
Ps 83 Donald Hertz,659,1504
Honeoye Middle/High School,660,1504
Edwards-Knox Junior-Senior High School,661,1504
Ps 84 Jose De Diego,662,1504
Groton Junior/Senior High School,663,1504
Lisha Kill Middle School,664,1504
Belfast School,665,1504
Pine Valley Central Junior-Senior High School,666,1504
Worcester School,667,1504
Middle School 224 Manhattan East School For Arts & Academics,668,1504
Middle School 358,669,1504
Ember Charter School,670,1504
Barker Central School,671,1504
Ronald Edmonds Learning Center II,672,1504
Iroquois Middle School,673,1504
West Canada Valley Junior-Senior High School,674,1504
Tompkins Square Middle School,675,1504
Minisink Valley Middle School,676,1504
Queens School Of Inquiry (The),677,1504
West Hempstead Secondary School,678,1504
Lynbrook South Middle School,679,1504
Is 340,680,1504
New Paltz Middle School,681,1504
Harrisville Junior-Senior High School,682,1504
Clifton-Fine Junior-Senior High School,683,1504
George F Baker High School,684,1504
Brownsville Ascend Charter School,685,1504
Clarke Middle School,686,1504
Lake Placid Junior-Senior High School,687,1504
Port Byron Senior High School,688,1504
Maple Grove Junior/Senior High School,689,1504
Is 96 Seth Low,690,1504
Deposit Middle-Senior High School,691,1504
Kingsborough Early College School,692,1504
Bronx Community Charter School,693,1504
Brooklyn Dreams Charter School,694,1504
Creo College Preparatory Charter School,695,1504
Ps/Middle School 114 Belle Harbor,696,1504
Crown Point Central School,697,1504
Mott Hall II,698,1504
Berlin Middle School/High School,699,1504
South Orangetown Middle School,700,1504
Northeastern Clinton Middle School,701,1504
Elba Junior-Senior High School,702,1504
Nelson Mandela/Dr Hosa Zollicoffer School,703,1504
Capital Preparatory Bronx Charter School,704,1504
Ps 226 Alfred De B Mason,705,1504
Junior High School 383 Philippa Schuyler,706,1504
Ps 109,707,1504
Teachers College Community School,708,1504
Middle School 266 Park Place Community Middle School,709,1504
Middle School For Art And Philosphy,710,1504
Chestnut Hill Middle School,711,1504
Wells School,712,1504
Laurens Central School,713,1504
Northville High School,714,1504
Blue Mountain Middle School,715,1504
Liverpool Middle School,716,1504
Charles H Roth Junior High School,717,1504
Young Women's Leadership School-Queens,718,1504
Valley Stream Memorial Junior High School,719,1504
Ps 3 Raul Julia Micro Society,720,1504
Frontier Middle School,721,1504
Stockbridge Valley Central School,722,1504
Is 5 Walter Crowley Intermediate School (The),723,1504
Central Park East II,724,1504
John G Borden Middle School,725,1504
Beekmantown Middle School,726,1504
Knowledge And Power Preparatory Academy III,727,1504
Boys Preparatory Charter School Of New York,728,1504
Union Springs Middle School,729,1504
Channel View School For Research,730,1504
Junior High School 189 Daniel Carter Beard,731,1504
Junior High School 278 Marine Park,732,1504
Academy Of Applied Mathematics And Technology,733,1504
East Side Community School,734,1504
Denzel Washington School-Arts,735,1504
Hoosick Falls Middle School,736,1504
Intellectus Preparatory Charter School,737,1504
Theatre Arts Production Company School,738,1504
John Ericsson Middle School 126,739,1504
Great Oaks Kathleen Sherry Charter School,740,1504
Royalton-Hartland Middle School,741,1504
Science And Medicine Middle School (The),742,1504
Family Life Academy Charter School II,743,1504
George Fischer Middle School,744,1504
Indian River Middle School,745,1504
West Babylon Junior High School,746,1504
Wyoming Central School,747,1504
Junior High School 78 Roy H Mann,748,1504
Morris Central School,749,1504
Granville Junior-Senior High School,750,1504
Fort Ann Middle/High School,751,1504
Greene Middle School,752,1504
Dover Middle School,753,1504
Pennington School,754,1504
Perry Junior-Senior High School,755,1504
Chittenango Middle School,756,1504
Comprehensive Model School Project Middle School 327,757,1504
South Buffalo Charter School,758,1504
Argyle Junior/Senior High School,759,1504
Brooklyn Green School (The),760,1504
Ronkonkoma Middle School,761,1504
Jean Nuzzi Intermediate School,762,1504
Mount Vernon Honor Academy,763,1504
Ps 315 Lab School,764,1504
One World Middle School At Edenwald,765,1504
Gordon Parks School (The),766,1504
Minerva Central School,767,1504
Junior High School 210 Elizabeth Blackwell,768,1504
Mott Haven Academy Charter School,769,1504
Samoset Middle School,770,1504
Tully Junior-Senior High School,771,1504
Vernon-Verona-Sherrill Middle School,772,1504
Carthage Middle School,773,1504
East Islip Middle School,774,1504
Hoosic Valley Junior Senior High School,775,1504
Howitt School,776,1504
Middle School 129 Academy For Independent Learning And Leadership,777,1504
Junior High School 8 Richard S Grossley,778,1504
Cairo-Durham Middle School,779,1504
Canastota High School,780,1504
Alexandria Central High School,781,1504
Thurgood Marshall Academy For Learning & Social Change,782,1504
